"dataset" "learner" "memory_limit"
"229" "amazon.commerce.reviews.1457" "classif.xgboost.gblinear" 2265663.6
"230" "amazon.commerce.reviews.1457" "classif.xgboost.gbtree" 2235870.72
"231" "analcatdata_authorship.458" "classif.RcppHNSW" 354065.4
"232" "analcatdata_authorship.458" "classif.glmnet" 386547.12
"233" "analcatdata_authorship.458" "classif.kerasff" 1094744.4
"234" "analcatdata_authorship.458" "classif.ranger.pow" 464207.52
"235" "analcatdata_authorship.458" "classif.rpart" 382338
"236" "analcatdata_authorship.458" "classif.svm" 390160.2
"237" "analcatdata_authorship.458" "classif.svm.radial" 388668
"238" "analcatdata_authorship.458" "classif.xgboost.dart" 425891.4
"239" "analcatdata_authorship.458" "classif.xgboost.gblinear" 398919.6
"240" "analcatdata_authorship.458" "classif.xgboost.gbtree" 440777.16
"241" "analcatdata_dmft.469" "classif.RcppHNSW" 333316.8
"242" "analcatdata_dmft.469" "classif.glmnet" 357799.2
"243" "analcatdata_dmft.469" "classif.kerasff" 1054341.48
"244" "analcatdata_dmft.469" "classif.ranger.pow" 486498.24
"245" "analcatdata_dmft.469" "classif.rpart" 350931.6
"246" "analcatdata_dmft.469" "classif.svm" 359076
"247" "analcatdata_dmft.469" "classif.svm.radial" 358924.8
"248" "analcatdata_dmft.469" "classif.xgboost.dart" 438951.36
"249" "analcatdata_dmft.469" "classif.xgboost.gblinear" 388965.96
"250" "analcatdata_dmft.469" "classif.xgboost.gbtree" 449061.36
"251" "arcene.41157" "classif.RcppHNSW" 503647.2
"252" "arcene.41157" "classif.glmnet" 620106
"253" "arcene.41157" "classif.kerasff" 2332740
"254" "arcene.41157" "classif.ranger.pow" 513380.4
"255" "arcene.41157" "classif.rpart" 3620263.68
"256" "arcene.41157" "classif.svm" 4434486.24
"257" "arcene.41157" "classif.svm.radial" 4458656.16
"258" "arcene.41157" "classif.xgboost.dart" 548319.6
"259" "arcene.41157" "classif.xgboost.gblinear" 540682.08
"260" "arcene.41157" "classif.xgboost.gbtree" 546270
"261" "balance.scale.11" "classif.RcppHNSW" 329846.4
"262" "balance.scale.11" "classif.glmnet" 353088
"263" "balance.scale.11" "classif.kerasff" 1060615.68
"264" "balance.scale.11" "classif.ranger.pow" 455322.84
"265" "balance.scale.11" "classif.rpart" 349477.2
"266" "balance.scale.11" "classif.svm" 350059.2
"267" "balance.scale.11" "classif.svm.radial" 350089.2
"268" "balance.scale.11" "classif.xgboost.dart" 411826.56
"269" "balance.scale.11" "classif.xgboost.gblinear" 388416
"270" "balance.scale.11" "classif.xgboost.gbtree" 419022.72
"271" "bank.marketing.1461" "classif.RcppHNSW" 676203.6
"272" "bank.marketing.1461" "classif.glmnet" 653634.24
